sex,quantile,b0,b1,b2,b3,b4
F,0.01,-1.89823055117316e+0,6.94217690139681e-1,-2.49755007746458e-2,5.33634489533981e-4,-4.7692763424938e-6
F,0.025,-9.15523725804273e-1,5.29374415518249e-1,-1.47446585943781e-2,2.69201219853759e-4,-2.3537061714461e-6
F,0.05,-3.56552265566936e-2,3.76064209229977e-1,-4.96950115937874e-3,1.00880399508847e-5,8.87897379966417e-8
F,0.1,1.55170122624531e-1,3.56594762998776e-1,-4.01282727802378e-3,-1.14891004630409e-5,2.91905926442287e-7
F,0.25,-6.17926685323766e-3,3.91489315579454e-1,-5.83983363713264e-3,2.74701265932854e-5,1.25218741602196e-8
F,0.5,2.47277418113423e-1,3.70440200280727e-1,-5.07278668575342e-3,1.79658724333519e-5,3.17102018612384e-8
F,0.75,3.76784712355285e-1,3.61976162764535e-1,-4.63535949504953e-3,8.51326693543256e-6,1.04436638183705e-7
F,0.9,2.86538459425835e-1,3.87048945293849e-1,-6.06592437416756e-3,4.19335923075893e-5,-1.64397771502855e-7
F,0.95,3.81320788764689e-1,3.76613696575359e-1,-5.28117982372732e-3,1.81818929490566e-5,7.60085577423407e-8
F,0.975,3.2551154984358e-1,4.0214557617585e-1,-7.4145176202411e-3,8.8196644838898e-5,-7.1015932637436e-7
F,0.99,5.179331809046e-1,3.8992943582849e-1,-7.0512841081792e-3,8.0249588088078e-5,-5.8757835323298e-7
M,0.01,1.0676868754174e+0,1.8916289014035e-1,5.7574178248425e-3,-2.5890835282806e-4,2.5773765651089e-6
M,0.025,-5.2610096513854e-1,4.4906549056954e-1,-8.9009550762548e-3,9.868293523919e-5,-6.1862373692705e-7
M,0.05,-2.64562353403465e-1,4.12210701662848e-1,-6.59353966698675e-3,3.87085414793403e-5,-5.92167006518022e-8
M,0.1,-6.31025226657407e-2,3.90993877846881e-1,-5.60764189001381e-3,1.90944627895524e-5,8.84241803692905e-8
M,0.25,-1.36872920737678e-1,4.11385471212291e-1,-6.62710457053528e-3,4.01078967104191e-5,-6.09266544869339e-8
M,0.5,2.22999048464601e-1,3.72888830200871e-1,-4.82835487505679e-3,5.38927935557086e-6,1.72630247811947e-7
M,0.75,2.74568726691847e-1,3.81231662554576e-1,-5.57248890309729e-3,2.934934995138e-5,-8.27628809790136e-8
M,0.9,2.40213697127957e-1,3.91178494734445e-1,-5.79538706713982e-3,2.75733050639858e-5,-1.90970772277149e-8
M,0.95,2.38080920038937e-1,3.94765675971259e-1,-5.81267491399174e-3,2.31531669574572e-5,6.85345268671191e-8
M,0.975,7.9018076483077e-1,3.2585025131141e-1,-2.5559098706069e-3,-4.2038969571238e-5,5.4228420412733e-7
M,0.99,-6.3894706453018e-1,5.9827236973175e-1,-2.0501971506261e-2,4.566509905005e-4,-4.407018817356e-6
