fetalDimension,quantile,b0,b1,b2,b3,b4
AC,0.01,1.19682766661905e+0,3.09985569982485e-1,-7.79821008212983e-3,7.21601862187339e-5,0e+0
AC,0.025,1.19202778944614e+0,3.14756681991964e-1,-8.01581308902169e-3,7.51395976546808e-5,0e+0
AC,0.05,1.09869954558741e+0,3.30079995799838e-1,-8.62095843727276e-3,8.25440120054722e-5,0e+0
AC,0.1,1.24418122481299e+0,3.16315401650234e-1,-8.14092689297361e-3,7.72501495178619e-5,0e+0
AC,0.25,1.44520878528145e+0,2.99433786203949e-1,-7.59672485585945e-3,7.1668993412344e-5,0e+0
AC,0.5,1.58552931028045e+0,2.89936781915424e-1,-7.32651929135797e-3,6.9261631643994e-5,0e+0
AC,0.75,1.71452506914277e+0,2.81367067786763e-1,-7.08195596502471e-3,6.7086230433841e-5,0e+0
AC,0.9,1.78078382317074e+0,2.79278890414784e-1,-7.0643788983289e-3,6.75104548969352e-5,0e+0
AC,0.95,1.83213806223649e+0,2.77106952998102e-1,-7.03388540291938e-3,6.76124200964958e-5,0e+0
AC,0.975,2.03674472691951e+0,2.57138461817474e-1,-6.34918788914223e-3,6.0053745113196e-5,0e+0
AC,0.99,2.12378932803127e+0,2.48505815693966e-1,-6.01677942684253e-3,5.62286023490798e-5,0e+0
BPD,0.01,5.91008401542612e-1,2.51833515513537e-1,-5.82602136865785e-3,4.85842528593502e-5,0e+0
BPD,0.025,5.8340478243682e-1,2.57706867351367e-1,-6.08380366281251e-3,5.16940376186165e-5,0e+0
BPD,0.05,6.40086541374477e-1,2.5352855332296e-1,-5.91651627062447e-3,4.94614232987744e-5,0e+0
BPD,0.1,6.7586050811029e-1,2.5343383445191e-1,-5.95606903884204e-3,5.03055604381436e-5,0e+0
BPD,0.25,7.69315103415485e-1,2.49927024175735e-1,-5.92399444708251e-3,5.076548429269e-5,0e+0
BPD,0.5,8.72984231314326e-1,2.43385003540798e-1,-5.71172523683453e-3,4.82880035733658e-5,0e+0
BPD,0.75,9.83298265402666e-1,2.36071116567572e-1,-5.48348083012818e-3,4.58419655773418e-5,0e+0
BPD,0.9,1.01351909208103e+0,2.37088857953509e-1,-5.5421492813894e-3,4.65258350076297e-5,0e+0
BPD,0.95,1.11401192681678e+0,2.28258457814188e-1,-5.24271052970102e-3,4.31665697359201e-5,0e+0
BPD,0.975,1.17917438634649e+0,2.24245686901115e-1,-5.13638678692311e-3,4.21401138788865e-5,0e+0
BPD,0.99,1.18876528083144e+0,2.2624188722951e-1,-5.22504825833189e-3,4.31577122241698e-5,0e+0
EFW,0.01,-5.01496264869835e-2,3.74471599175392e-1,-5.34930256943893e-3,2.3744363684445e-5,0e+0
EFW,0.025,-2.30518383014592e-1,4.00511116318458e-1,-6.17993235833267e-3,3.16595762972649e-5,0e+0
EFW,0.05,-1.62057103557898e-1,3.93965369913166e-1,-5.79733056422172e-3,2.55319128239087e-5,0e+0
EFW,0.1,-4.55887642525626e-2,3.89314052082164e-1,-5.74527674062641e-3,2.65557891064333e-5,0e+0
EFW,0.25,-1.2258767992062e-2,3.93836404898322e-1,-5.92304885519551e-3,2.8863017896588e-5,0e+0
EFW,0.5,1.57310086966445e-1,3.83067935520509e-1,-5.54046846639963e-3,2.46570062800598e-5,0e+0
EFW,0.75,2.93297386426919e-1,3.76096229210412e-1,-5.29255036113726e-3,2.18372277641981e-5,0e+0
EFW,0.9,3.53142227490073e-1,3.76486874470206e-1,-5.28742945785833e-3,2.14760212556463e-5,0e+0
EFW,0.95,2.85025055968914e-1,3.90621472299378e-1,-5.82929182402995e-3,2.79088693116937e-5,0e+0
EFW,0.975,4.08170594889372e-1,3.81068214664342e-1,-5.50913922743603e-3,2.46713147783532e-5,0e+0
EFW,0.99,7.9584342596075e-1,3.42142215761221e-1,-4.14863204456851e-3,1.02097735855226e-5,0e+0
FL,0.01,-7.63357391915398e+0,1.32616480908407e+0,-6.03406386286656e-2,1.27059302964739e-3,-1.01590910980777e-5
FL,0.025,-7.27187176976836e+0,1.28298928826162e+0,-5.80601892487905e-2,1.21314319801879e-3,-9.60171505470123e-6
FL,0.05,-7.07052933404414e+0,1.26780052700097e+0,-5.77556347769781e-2,1.21608381996396e-3,-9.70361787292646e-6
FL,0.1,-6.69175407354157e+0,1.22500911064189e+0,-5.5920618206786e-2,1.18320191905997e-3,-9.50365006831978e-6
FL,0.25,-6.07953118554742e+0,1.15245170563351e+0,-5.25510654314434e-2,1.11418613323875e-3,-8.9802280974713e-6
FL,0.5,-5.54922620776446e+0,1.09559990166124e+0,-5.01310925949098e-2,1.0678072569586e-3,-8.63970606288493e-6
FL,0.75,-4.68666987282664e+0,9.78111793398168e-1,-4.39319069083821e-2,9.2346644003072e-4,-7.39427758542544e-6
FL,0.9,-4.31219596825529e+0,9.4038705308254e-1,-4.24709867520927e-2,8.9977742409265e-4,-7.26284658350453e-6
FL,0.95,-4.12398207550525e+0,9.20344210800571e-1,-4.15728969581384e-2,8.81055511995407e-4,-7.10843959625547e-6
FL,0.975,-3.64483930811801e+0,8.57028131514986e-1,-3.84005685481303e-2,8.12062784461527e-4,-6.55932416998498e-6
FL,0.99,-3.40004123807778e+0,8.34596760116344e-1,-3.76568882663223e-2,8.03601513837836e-4,-6.55323852770109e-6
HC,0.01,1.51782795874402e+0,2.99296859125438e-1,-7.52376152126206e-3,6.7179373384666e-5,0e+0
HC,0.025,1.59317517131532e+0,2.9459800552433e-1,-7.3860372566707e-3,6.56951770216148e-5,0e+0
HC,0.05,1.74883945698398e+0,2.78405280785763e-1,-6.77990950687641e-3,5.83587774721548e-5,0e+0
HC,0.1,1.83059537388222e+0,2.7244251174974e-1,-6.59546864496838e-3,5.63957469365128e-5,0e+0
HC,0.25,1.94181945227701e+0,2.6584757167445e-1,-6.44544904011178e-3,5.54517813431795e-5,0e+0
HC,0.5,2.09924879247164e+0,2.53373656106037e-1,-6.05647816678282e-3,5.14256072059917e-5,0e+0
HC,0.75,2.20777451923048e+0,2.45212320927953e-1,-5.78557948587613e-3,4.83972618799514e-5,0e+0
HC,0.9,2.31776999721364e+0,2.36651510200538e-1,-5.50781288608926e-3,4.53975879344267e-5,0e+0
HC,0.95,2.39550106176494e+0,2.29586666082063e-1,-5.25318141633775e-3,4.23738937924844e-5,0e+0
HC,0.975,2.50074069629423e+0,2.20067854715719e-1,-4.93623111462443e-3,3.89066000946519e-5,0e+0
HC,0.99,2.50189533265806e+0,2.23785148311865e-1,-5.14245402239348e-3,4.20117020605557e-5,0e+0
HL,0.01,-7.78349846701959e+0,1.38492965874312e+0,-6.52780187735718e-2,1.4150928034733e-3,-1.16119076226422e-5
HL,0.025,-7.47910160663101e+0,1.35204523406865e+0,-6.36532992863844e-2,1.37481173675706e-3,-1.12101330502122e-5
HL,0.05,-6.90099057209008e+0,1.27054553137824e+0,-5.91262450111552e-2,1.2637456183417e-3,-1.02071740374974e-5
HL,0.1,-6.53608302749862e+0,1.2272413635898e+0,-5.71034895407674e-2,1.22207225813435e-3,-9.88852986676249e-6
HL,0.25,-5.42815715796469e+0,1.07352977734643e+0,-4.89087664932973e-2,1.0293053840563e-3,-8.20541048892881e-6
HL,0.5,-4.85748536478029e+0,1.00813558857801e+0,-4.60077781702957e-2,9.73401688196724e-4,-7.81084345942064e-6
HL,0.75,-4.3140683823838e+0,9.43595032408634e-1,-4.2967382499428e-2,9.09706728731155e-4,-7.31114518318759e-6
HL,0.9,-3.70486556990912e+0,8.6055314135122e-1,-3.85250212654406e-2,8.04666353059272e-4,-6.3896725175013e-6
